סניף,יעד עד סוף החודש,יעד מכירות עד היום חודשי,ביצוע מכירות חודשי כולל מעמ,מרחק מיעד מכירות חודשי,אחוז עמידה ביעד מכירות חודשי,אחוז עמידה ביעד מכירות עד היום,יעד שעות תקן עד היום חודשי,ביצוע שעות תקן חודש נוכחי,אחוז עמידה ביעד חודשי שעות תקן,פריון,יעד פריון,אחוז עמידה ביעד פריון
קרית גת סלומון כאסח,"160,000","159,991","113,591","-46,409",70.99%,0.709986124,600,521.9333333,86.99%,218,267,81.62%
ראש פינה,"120,000","120,001","90,492","-29,508",75.41%,0.754091216,400,309.5833333,77.40%,292,300,97.43%
ראשונים,"160,000","159,991","143,401","-16,599",89.63%,0.896304417,460,424.5666667,92.30%,338,348,97.11%
רחובות,"260,000","259,997","291,161","31,161",111.99%,1.119863306,570,534.0833333,93.70%,545,456,119.52%
רננים,"250,000","250,015","242,645","-7,355",97.06%,0.970523009,600,590.0666667,98.34%,411,417,98.69%
שבעת הכוכבים,"350,000","349,990","350,285",285,100.08%,1.000843224,650,608.8666667,93.67%,575,538,106.85%
שדרות,"200,000","200,012","220,313","20,313",110.16%,1.10149846,600,434.1166667,72.35%,507,333,152.24%
שער בנימין,"80,000","67,080","89,645","9,645",112.06%,1.336388193,350,312.55,89.30%,287,192,149.65%
שער הצפון,"180,000","179,986","206,554","26,554",114.75%,1.147609425,450,338.65,75.26%,610,400,152.49%
שפיים,"200,000","200,012","198,135","-1,865",99.07%,0.990616013,500,503.8333333,100.77%,393,400,98.31%
שרונים,"120,000","120,001","109,464","-10,536",91.22%,0.912194398,300,293.8,97.93%,373,400,93.14%
ת. מרכזית י-ם עודפים,"200,000","200,012","177,814","-22,186",88.91%,0.889017409,550,404.55,73.55%,440,364,120.87%
